game_start_time, game_end_time, court_number, list_of_player_ids
4,14,1,1,2
6,16,2,3,4
11,21,3,5,6
15,25,1,7,9
19,29,2,10,11
22,32,3,12,13
25,30,1,14,16
30,40,1,17,18
35,50,2,8,15,20,21
36,46,3,19,22
42,52,1,25,26
49,64,3,23,24,27,29
51,61,2,28,30
54,64,1,32,33
57,67,4,34,36
61,71,2,37,38
63,78,1,31,35,40,41
64,74,3,39,42
66,71,1,43,44
68,78,4,45,46
69,79,1,47,48
72,77,2,49,51
74,84,3,53,54
77,87,2,55,56
82,87,1,57,58
82,87,4,59,60
89,99,1,62,63
89,104,2,50,52,61,64
96,101,3,66,67
101,111,1,68,70
104,109,2,71,72
105,115,3,73,74
109,124,2,65,69,75,77
111,116,1,76,78
115,125,3,79,80
117,127,1,81,82
122,132,4,83,84
127,137,1,85,86
136,146,2,87,91
138,153,1,88,89,90,92
147,152,2,94,97
152,162,2,98,99
155,170,1,93,95,96,100
